"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-0.347672914915804","-0.789033199694543","-1.49916307941963","-0.0115320236878433","%","min","umol/min/g","A2","G24","8","sym","EC"
"2","-0.11060052322775","-0.251004553378614","-0.476908651419367","-0.0116319183273016","%","min","umol/min/g","A3","B13","8","sym","EC"
"3","-0.11933659398111","-0.270830802601827","-0.514578524943471","-0.0135415401300913","%","min","umol/min/g","A4","B21","8","sym","EC"
"4","-0.299544172344887","-0.679806469285584","-1.29163229164261","-0.00817488792178867","%","min","umol/min/g","A5","W21","8","sym","EC"
"5","-2.58791407760427","-5.87319298565765","-11.1590666727495","-0.0851837150591568","%","min","umol/min/g","A6","Y14","8","sym","EC"
"6","-0.702559550481055","-1.59443772094318","-3.02943166979204","-0.0165542714196287","%","min","umol/min/g","B2","G26","8","sym","EC"
"7","-1.33929807492684","-3.03949660749438","-5.77504355423933","-0.0237656113343182","%","min","umol/min/g","B3","B15","8","sym","EC"
"8","-0.189387124347096","-0.429808369572664","-0.816635902188061","-0.0131715468094849","%","min","umol/min/g","B4","W17","8","sym","EC"
"9","-0.396151915372015","-0.899054829815546","-1.70820417664954","-0.00918389342284698","%","min","umol/min/g","B5","Y12","8","sym","EC"
"10","-0.296735308561106","-0.673431837602355","-1.27952049144448","-0.00612210761456687","%","min","umol/min/g","B6","Y17","8","sym","EC"
"11","-0.448552991608231","-1.01797749268709","-1.93415723610547","-0.0119392421981819","%","min","umol/min/g","C2","G60","8","apo","EC"
"12","-0.80916168858908","-1.83636805982513","-3.48909931366774","-0.0229546007478141","%","min","umol/min/g","C3","B63","8","apo","EC"
"13","-0.203557014366504","-0.461966507816021","-0.87773636485044","-0.00790753481847243","%","min","umol/min/g","C4","B70","8","apo","EC"
"14","-1.79847716073234","-4.08158970063529","-7.75502043120706","-0.0261111799030541","%","min","umol/min/g","C5","W62","8","apo","EC"
"15","-0.170493612917195","-0.386930114933212","-0.735167218373104","-0.00750170630992963","%","min","umol/min/g","C6","Y55","8","apo","EC"
"16","-3.88315094529188","-8.81269401156123","-16.7441186219663","-0.101479506799796","%","min","umol/min/g","D2","G64","8","apo","EC"
"17","-3.88315094529188","-8.81269401156123","-16.7441186219663","-0.0617864155792115","%","min","umol/min/g","D3","B65","8","apo","EC"
"18","-2.11807329372557","-4.80690349013977","-9.13311663126557","-0.0432849129443866","%","min","umol/min/g","D4","W59","8","apo","EC"
"19","-0.25423554554774","-0.576979906611939","-1.09626182256268","-0.00619356961899821","%","min","umol/min/g","D5","Y57","8","apo","EC"
"20","-0.644768082805026","-1.46328172719399","-2.78023528166858","-0.0175964258333454","%","min","umol/min/g","D6","Y59","8","apo","EC"
